model,task,scorer,pass_at_1,pass_pow_8
qwen3-14b-q4,code-find-and-fix-bug,end_state,1.000000,1.000000
qwen3-14b-q4,code-read-and-explain,end_state,1.000000,1.000000
qwen3-14b-q4,code-write-and-execute,end_state,1.000000,1.000000
qwen3-14b-q4,fs-grep-extract-and-write,end_state,1.000000,1.000000
qwen3-14b-q4,fs-read-and-copy,end_state,1.000000,1.000000
qwen3-14b-q4,fs-write-csv-summary,end_state,1.000000,1.000000
qwen3-14b-q4,http-fetch-and-count,end_state,0.000000,0.000000
qwen3-14b-q4,http-fetch-and-extract,end_state,1.000000,1.000000
qwen3-14b-q4,multi-db-self-check,end_state,1.000000,1.000000
qwen3-14b-q4,multi-words-and-hash,end_state,1.000000,1.000000
qwen3-14b-q4,shell-count-lines,end_state,0.000000,0.000000
qwen3-14b-q4,shell-pipeline-extract,end_state,0.000000,0.000000
qwen3-14b-q4,code-find-and-fix-bug,tool_correctness,1.000000,1.000000
qwen3-14b-q4,code-read-and-explain,tool_correctness,1.000000,1.000000
qwen3-14b-q4,code-write-and-execute,tool_correctness,1.000000,1.000000
qwen3-14b-q4,fs-grep-extract-and-write,tool_correctness,1.000000,1.000000
qwen3-14b-q4,fs-read-and-copy,tool_correctness,1.000000,1.000000
qwen3-14b-q4,fs-write-csv-summary,tool_correctness,1.000000,1.000000
qwen3-14b-q4,http-fetch-and-count,tool_correctness,1.000000,1.000000
qwen3-14b-q4,http-fetch-and-extract,tool_correctness,1.000000,1.000000
qwen3-14b-q4,multi-db-self-check,tool_correctness,1.000000,1.000000
qwen3-14b-q4,multi-words-and-hash,tool_correctness,1.000000,1.000000
qwen3-14b-q4,shell-count-lines,tool_correctness,1.000000,1.000000
qwen3-14b-q4,shell-pipeline-extract,tool_correctness,1.000000,1.000000
qwen3-14b-q4,code-find-and-fix-bug,budget_respected,1.000000,1.000000
qwen3-14b-q4,code-read-and-explain,budget_respected,1.000000,1.000000
qwen3-14b-q4,code-write-and-execute,budget_respected,1.000000,1.000000
qwen3-14b-q4,fs-grep-extract-and-write,budget_respected,1.000000,1.000000
qwen3-14b-q4,fs-read-and-copy,budget_respected,1.000000,1.000000
qwen3-14b-q4,fs-write-csv-summary,budget_respected,1.000000,1.000000
qwen3-14b-q4,http-fetch-and-count,budget_respected,1.000000,1.000000
qwen3-14b-q4,http-fetch-and-extract,budget_respected,1.000000,1.000000
qwen3-14b-q4,multi-db-self-check,budget_respected,1.000000,1.000000
qwen3-14b-q4,multi-words-and-hash,budget_respected,1.000000,1.000000
qwen3-14b-q4,shell-count-lines,budget_respected,1.000000,1.000000
qwen3-14b-q4,shell-pipeline-extract,budget_respected,1.000000,1.000000
llama3.1-8b-q4,code-find-and-fix-bug,end_state,1.000000,1.000000
llama3.1-8b-q4,code-read-and-explain,end_state,1.000000,1.000000
llama3.1-8b-q4,code-write-and-execute,end_state,0.000000,0.000000
llama3.1-8b-q4,fs-grep-extract-and-write,end_state,0.000000,0.000000
llama3.1-8b-q4,fs-read-and-copy,end_state,0.000000,0.000000
llama3.1-8b-q4,fs-write-csv-summary,end_state,0.000000,0.000000
llama3.1-8b-q4,http-fetch-and-count,end_state,0.000000,0.000000
llama3.1-8b-q4,http-fetch-and-extract,end_state,0.000000,0.000000
llama3.1-8b-q4,multi-db-self-check,end_state,1.000000,1.000000
llama3.1-8b-q4,multi-words-and-hash,end_state,0.000000,0.000000
llama3.1-8b-q4,shell-count-lines,end_state,0.000000,0.000000
llama3.1-8b-q4,shell-pipeline-extract,end_state,0.000000,0.000000
llama3.1-8b-q4,code-find-and-fix-bug,tool_correctness,0.000000,0.000000
llama3.1-8b-q4,code-read-and-explain,tool_correctness,0.000000,0.000000
llama3.1-8b-q4,code-write-and-execute,tool_correctness,1.000000,1.000000
llama3.1-8b-q4,fs-grep-extract-and-write,tool_correctness,1.000000,1.000000
llama3.1-8b-q4,fs-read-and-copy,tool_correctness,0.000000,0.000000
llama3.1-8b-q4,fs-write-csv-summary,tool_correctness,0.000000,0.000000
llama3.1-8b-q4,http-fetch-and-count,tool_correctness,1.000000,1.000000
llama3.1-8b-q4,http-fetch-and-extract,tool_correctness,1.000000,1.000000
llama3.1-8b-q4,multi-db-self-check,tool_correctness,1.000000,1.000000
llama3.1-8b-q4,multi-words-and-hash,tool_correctness,1.000000,1.000000
llama3.1-8b-q4,shell-count-lines,tool_correctness,1.000000,1.000000
llama3.1-8b-q4,shell-pipeline-extract,tool_correctness,1.000000,1.000000
llama3.1-8b-q4,code-find-and-fix-bug,budget_respected,1.000000,1.000000
llama3.1-8b-q4,code-read-and-explain,budget_respected,1.000000,1.000000
llama3.1-8b-q4,code-write-and-execute,budget_respected,1.000000,1.000000
llama3.1-8b-q4,fs-grep-extract-and-write,budget_respected,1.000000,1.000000
llama3.1-8b-q4,fs-read-and-copy,budget_respected,1.000000,1.000000
llama3.1-8b-q4,fs-write-csv-summary,budget_respected,1.000000,1.000000
llama3.1-8b-q4,http-fetch-and-count,budget_respected,1.000000,1.000000
llama3.1-8b-q4,http-fetch-and-extract,budget_respected,1.000000,1.000000
llama3.1-8b-q4,multi-db-self-check,budget_respected,1.000000,1.000000
llama3.1-8b-q4,multi-words-and-hash,budget_respected,1.000000,1.000000
llama3.1-8b-q4,shell-count-lines,budget_respected,1.000000,1.000000
llama3.1-8b-q4,shell-pipeline-extract,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,code-find-and-fix-bug,end_state,1.000000,1.000000
gpt-oss-20b-cloud,code-read-and-explain,end_state,1.000000,1.000000
gpt-oss-20b-cloud,code-write-and-execute,end_state,1.000000,1.000000
gpt-oss-20b-cloud,fs-grep-extract-and-write,end_state,1.000000,1.000000
gpt-oss-20b-cloud,fs-read-and-copy,end_state,1.000000,1.000000
gpt-oss-20b-cloud,fs-write-csv-summary,end_state,1.000000,1.000000
gpt-oss-20b-cloud,http-fetch-and-count,end_state,0.000000,0.000000
gpt-oss-20b-cloud,http-fetch-and-extract,end_state,0.000000,0.000000
gpt-oss-20b-cloud,multi-db-self-check,end_state,1.000000,1.000000
gpt-oss-20b-cloud,multi-words-and-hash,end_state,1.000000,1.000000
gpt-oss-20b-cloud,shell-count-lines,end_state,1.000000,1.000000
gpt-oss-20b-cloud,shell-pipeline-extract,end_state,1.000000,1.000000
gpt-oss-20b-cloud,code-find-and-fix-bug,tool_correctness,0.625000,0.000000
gpt-oss-20b-cloud,code-read-and-explain,tool_correctness,1.000000,1.000000
gpt-oss-20b-cloud,code-write-and-execute,tool_correctness,1.000000,1.000000
gpt-oss-20b-cloud,fs-grep-extract-and-write,tool_correctness,1.000000,1.000000
gpt-oss-20b-cloud,fs-read-and-copy,tool_correctness,1.000000,1.000000
gpt-oss-20b-cloud,fs-write-csv-summary,tool_correctness,1.000000,1.000000
gpt-oss-20b-cloud,http-fetch-and-count,tool_correctness,1.000000,1.000000
gpt-oss-20b-cloud,http-fetch-and-extract,tool_correctness,1.000000,1.000000
gpt-oss-20b-cloud,multi-db-self-check,tool_correctness,0.750000,0.000000
gpt-oss-20b-cloud,multi-words-and-hash,tool_correctness,1.000000,1.000000
gpt-oss-20b-cloud,shell-count-lines,tool_correctness,1.000000,1.000000
gpt-oss-20b-cloud,shell-pipeline-extract,tool_correctness,1.000000,1.000000
gpt-oss-20b-cloud,code-find-and-fix-bug,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,code-read-and-explain,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,code-write-and-execute,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,fs-grep-extract-and-write,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,fs-read-and-copy,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,fs-write-csv-summary,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,http-fetch-and-count,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,http-fetch-and-extract,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,multi-db-self-check,budget_respected,0.875000,0.000000
gpt-oss-20b-cloud,multi-words-and-hash,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,shell-count-lines,budget_respected,1.000000,1.000000
gpt-oss-20b-cloud,shell-pipeline-extract,budget_respected,1.000000,1.000000
glm-5.1-cloud,code-find-and-fix-bug,end_state,1.000000,1.000000
glm-5.1-cloud,code-read-and-explain,end_state,1.000000,1.000000
glm-5.1-cloud,code-write-and-execute,end_state,1.000000,1.000000
glm-5.1-cloud,fs-grep-extract-and-write,end_state,1.000000,1.000000
glm-5.1-cloud,fs-read-and-copy,end_state,1.000000,1.000000
glm-5.1-cloud,fs-write-csv-summary,end_state,1.000000,1.000000
glm-5.1-cloud,http-fetch-and-count,end_state,0.000000,0.000000
glm-5.1-cloud,http-fetch-and-extract,end_state,0.000000,0.000000
glm-5.1-cloud,multi-db-self-check,end_state,1.000000,1.000000
glm-5.1-cloud,multi-words-and-hash,end_state,1.000000,1.000000
glm-5.1-cloud,shell-count-lines,end_state,1.000000,1.000000
glm-5.1-cloud,shell-pipeline-extract,end_state,1.000000,1.000000
glm-5.1-cloud,code-find-and-fix-bug,tool_correctness,0.875000,0.000000
glm-5.1-cloud,code-read-and-explain,tool_correctness,1.000000,1.000000
glm-5.1-cloud,code-write-and-execute,tool_correctness,1.000000,1.000000
glm-5.1-cloud,fs-grep-extract-and-write,tool_correctness,1.000000,1.000000
glm-5.1-cloud,fs-read-and-copy,tool_correctness,1.000000,1.000000
glm-5.1-cloud,fs-write-csv-summary,tool_correctness,1.000000,1.000000
glm-5.1-cloud,http-fetch-and-count,tool_correctness,1.000000,1.000000
glm-5.1-cloud,http-fetch-and-extract,tool_correctness,1.000000,1.000000
glm-5.1-cloud,multi-db-self-check,tool_correctness,1.000000,1.000000
glm-5.1-cloud,multi-words-and-hash,tool_correctness,1.000000,1.000000
glm-5.1-cloud,shell-count-lines,tool_correctness,1.000000,1.000000
glm-5.1-cloud,shell-pipeline-extract,tool_correctness,1.000000,1.000000
glm-5.1-cloud,code-find-and-fix-bug,budget_respected,1.000000,1.000000
glm-5.1-cloud,code-read-and-explain,budget_respected,1.000000,1.000000
glm-5.1-cloud,code-write-and-execute,budget_respected,1.000000,1.000000
glm-5.1-cloud,fs-grep-extract-and-write,budget_respected,1.000000,1.000000
glm-5.1-cloud,fs-read-and-copy,budget_respected,1.000000,1.000000
glm-5.1-cloud,fs-write-csv-summary,budget_respected,1.000000,1.000000
glm-5.1-cloud,http-fetch-and-count,budget_respected,1.000000,1.000000
glm-5.1-cloud,http-fetch-and-extract,budget_respected,1.000000,1.000000
glm-5.1-cloud,multi-db-self-check,budget_respected,1.000000,1.000000
glm-5.1-cloud,multi-words-and-hash,budget_respected,1.000000,1.000000
glm-5.1-cloud,shell-count-lines,budget_respected,1.000000,1.000000
glm-5.1-cloud,shell-pipeline-extract,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,code-find-and-fix-bug,end_state,1.000000,1.000000
gpt-oss-120b-cloud,code-read-and-explain,end_state,1.000000,1.000000
gpt-oss-120b-cloud,code-write-and-execute,end_state,1.000000,1.000000
gpt-oss-120b-cloud,fs-grep-extract-and-write,end_state,1.000000,1.000000
gpt-oss-120b-cloud,fs-read-and-copy,end_state,1.000000,1.000000
gpt-oss-120b-cloud,fs-write-csv-summary,end_state,1.000000,1.000000
gpt-oss-120b-cloud,http-fetch-and-count,end_state,0.000000,0.000000
gpt-oss-120b-cloud,http-fetch-and-extract,end_state,0.000000,0.000000
gpt-oss-120b-cloud,multi-db-self-check,end_state,1.000000,1.000000
gpt-oss-120b-cloud,multi-words-and-hash,end_state,1.000000,1.000000
gpt-oss-120b-cloud,shell-count-lines,end_state,1.000000,1.000000
gpt-oss-120b-cloud,shell-pipeline-extract,end_state,1.000000,1.000000
gpt-oss-120b-cloud,code-find-and-fix-bug,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,code-read-and-explain,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,code-write-and-execute,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,fs-grep-extract-and-write,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,fs-read-and-copy,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,fs-write-csv-summary,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,http-fetch-and-count,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,http-fetch-and-extract,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,multi-db-self-check,tool_correctness,0.500000,0.000000
gpt-oss-120b-cloud,multi-words-and-hash,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,shell-count-lines,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,shell-pipeline-extract,tool_correctness,1.000000,1.000000
gpt-oss-120b-cloud,code-find-and-fix-bug,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,code-read-and-explain,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,code-write-and-execute,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,fs-grep-extract-and-write,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,fs-read-and-copy,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,fs-write-csv-summary,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,http-fetch-and-count,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,http-fetch-and-extract,budget_respected,0.750000,0.000000
gpt-oss-120b-cloud,multi-db-self-check,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,multi-words-and-hash,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,shell-count-lines,budget_respected,1.000000,1.000000
gpt-oss-120b-cloud,shell-pipeline-extract,budget_respected,1.000000,1.000000
