cell,fusion,alpha,top_k_stage1,rerank,final_k,query_idx,question,origin_chunk_id,gold_in_stage1_pool,stage1_size,rerank_top_score,rerank_bottom_score,hit_rank,recall_at_5,mrr10,ndcg_at_10
C2_alpha_rerank,alpha,0.75,50,1,5,2,How do I determine whether a variable is already defined? Or a function?,01KSHSND029K1S14CP1FHQTEH9,1,50,7.5625,5.8125,3,1,0.333333,0.500000
C2_alpha_rerank,alpha,0.75,50,1,5,3,how to fetch ssh hostkeys and add to known_hosts without interaction,01KSHSND2RCY7CHWM7FA7WZB97,1,50,8.625,-6.0,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,4,Why is ${$x} invalid in shell scripts and how to correctly use variable expansion and indirection?,01KSHSND6N5MGRV3JHMRAV4WG0,0,50,10.3125,5.3125,0,0,0.000000,0.000000
C2_alpha_rerank,alpha,0.75,50,1,5,5,SC2286.md,01KSHSND6R2KF0GY78D52GR4BV,1,50,7.8125,4.0625,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,6,How to perform arithmetic evaluation in Bash using let and (( )) commands,01KSHSNCW876EV9G679ZTBEAB9,1,50,8.875,7.1875,3,1,0.333333,0.500000
C2_alpha_rerank,alpha,0.75,50,1,5,7,Are there exceptions to the rule that numbers with leading 0 are considered octal in Bash?,01KSHSND860E18852HZDRHQ16Y,1,50,8.0625,6.375,0,0,0.000000,0.000000
C2_alpha_rerank,alpha,0.75,50,1,5,8,What is the historical relationship between bc and dc in Unix?,01KSHSND44D8XQPG0N023DTMG6,1,50,8.3125,-1.1875,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,9,readline incremental search command history,01KSHSNCP4QVJ5E3899KKDN3KW,1,50,8.375,7.6875,3,1,0.333333,0.500000
C2_alpha_rerank,alpha,0.75,50,1,5,10,"How to use ${@:START:COUNT} for expanding a range of positional parameters in Bash, including negative start values and differences between Bash 4 and older versions?",01KSHSND33D2JNEANE8TKRJBPJ,1,50,8.6875,6.25,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,11,how to configure bash to archive command history by month using HISTFILE and date formatting,01KSHSND0579P0E32617QJ5WJ4,1,50,6.25,2.875,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,12,How does the [n]<>word redirection operator open files for both reading and writing in shell scripting?,01KSHSNCQG3AHQD1ZG8MSXQ7D5,1,50,9.25,8.5,3,1,0.333333,0.500000
C2_alpha_rerank,alpha,0.75,50,1,5,13,How to disable the warning when a function runs without set -e in an if condition in Bash?,01KSHSND6JVG7A73RM55KQQ7ES,1,50,8.0625,6.6875,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,14,bash history variables HISTSIZE HISTFILE HISTFILESIZE,01KSHSNCN4E4GQ4JCCB8MF8W9C,1,50,7.125,6.5,5,1,0.200000,0.386853
C2_alpha_rerank,alpha,0.75,50,1,5,15,"How to use foo ""$@"" in a shell script to make function's $1 refer to script's $1?",01KSHSND7XV2EPM69M5B27W9HA,1,50,9.6875,4.5625,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,16,sh history expansion modifiers explanation,01KSHSNCR0046EPDH0CEY7J6V2,1,50,7.125,4.9375,0,0,0.000000,0.000000
C2_alpha_rerank,alpha,0.75,50,1,5,17,how to use numbers with leading zeros in a bash loop using seq,01KSHSNCYA4WRGCVZ85JEQ8KJV,1,50,8.1875,6.125,5,1,0.200000,0.386853
C2_alpha_rerank,alpha,0.75,50,1,5,18,Bash loop commands syntax explanation,01KSHSND1B99JABS5DV0BKMXX0,1,50,6.3125,3.4375,2,1,0.500000,0.630930
C2_alpha_rerank,alpha,0.75,50,1,5,19,readline function manpage name section,01KSHSNCP059MHZR946HT1HQ6V,1,50,7.6875,5.25,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,20,how to pass arguments with spaces in bash using arrays,01KSHSND84S923WGQRHDQSF0QC,0,50,6.0,4.875,0,0,0.000000,0.000000
C2_alpha_rerank,alpha,0.75,50,1,5,21,How does Bash handle regular expressions with the =~ operator and BASH_REMATCH variable?,01KSHSNCVS9VGHHAEGBPQGTRBM,1,50,8.3125,4.875,3,1,0.333333,0.500000
C2_alpha_rerank,alpha,0.75,50,1,5,22,step 99.4 translate the strings,01KSHSND09JAAR298H1QFGWGPG,1,50,7.25,1.625,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,23,What is the content of SC2075.md?,01KSHSND875BS6BTH9H81C61QH,1,50,7.1875,4.0,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,24,"In bats, why doesn't ! cause a test failure and how to fold it into a conditional?",01KSHSND6G8T6Q349J7HX8KE1M,1,50,10.8125,7.8125,5,1,0.200000,0.386853
C2_alpha_rerank,alpha,0.75,50,1,5,25,declare command portability bash zsh posix,01KSHSND4VD23GPDDXCA8SBTXN,1,50,8.3125,5.8125,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,26,Bash local variable outside function error,01KSHSND7KZDPQTK94MAKVKXA0,1,50,7.25,4.125,2,1,0.500000,0.630930
C2_alpha_rerank,alpha,0.75,50,1,5,27,ShellCheck SC2171 error trailing ] tr -d ] fix,01KSHSND7J1YWCYE2DDT16YT1E,1,50,7.9375,2.875,2,1,0.500000,0.630930
C2_alpha_rerank,alpha,0.75,50,1,5,28,What is the content of SC2073.md?,01KSHSND875BS6BTH9H81C61QS,1,50,7.0625,3.75,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,29,What is the content of SC2148.md?,01KSHSND7QYB0HKGB58BQA7NHR,1,50,7.375,3.75,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,30,how to save a command as a function in bash to run later,01KSHSNCYZDAWVS4QJMWKX48TR,1,50,6.875,4.25,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,31,How do I disable the warning for a variable not being assigned when I intentionally didn't use it?,01KSHSND7PQVGDV80EC19Y7B63,1,50,7.4375,5.5625,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,32,Why is break or continue invalid outside a loop in scripting?,01KSHSND80A396HJ701A2TB9FV,1,50,8.375,4.4375,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,33,How to handle unset terminal variables in bash when stderr is not connected to a terminal using tput?,01KSHSNCYSZ3RQ555QEF1PNF4S,1,50,7.8125,2.3125,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,34,How does quoting affect pattern matching in a Bash case statement?,01KSHSND16GFQMW1QEH51E1Y28,1,50,7.375,6.625,0,0,0.000000,0.000000
C2_alpha_rerank,alpha,0.75,50,1,5,35,inconsistent output of which command across different operating systems and recommended alternatives,01KSHSND013361FTXN7GHXNKWX,1,50,7.875,-3.3125,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,36,command substitution syntax shell scripting best practices,01KSHSND30V9XRM99EKA1XFVQY,1,50,7.4375,7.1875,0,0,0.000000,0.000000
C2_alpha_rerank,alpha,0.75,50,1,5,37,How does the Bourne find command with 2>&1 and >/dev/null redirection work?,01KSHSNCZ1109RS8387YG9A1FM,1,50,8.25,6.25,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,38,"Bash aliases vs functions: differences in behavior, limitations, and example of replacing an alias with a function",01KSHSNCW876EV9G679ZTBEABB,1,50,8.375,6.5,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,39,What is the content of the SC2083.md section?,01KSHSND85B7WBD71QPWX99YRP,1,50,5.875,3.3125,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,40,how to convert filenames to lowercase using rename command in Linux,01KSHSNCYKX3NAEHHEYH9E0FFK,1,50,7.75,6.0,4,1,0.250000,0.430677
C2_alpha_rerank,alpha,0.75,50,1,5,41,How to add color to terminal scripts using ANSI codes,01KSHSND2XBGR79KE9MES6BGKH,1,50,7.0625,4.875,0,0,0.000000,0.000000
C2_alpha_rerank,alpha,0.75,50,1,5,42,How can I avoid losing any history lines?,01KSHSNCWTSYN79T85P20X2VE6,1,50,8.0625,4.5625,2,1,0.500000,0.630930
C2_alpha_rerank,alpha,0.75,50,1,5,43,introduction to ANSI/VT100 terminal codes in bash scripting,01KSHSND2YVHM55A9K19SZXT5G,1,50,10.5625,3.25,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,44,process substitution bugs and portability issues in bash and other shells,01KSHSND4ZG6ZXHS42S8C1W7HY,1,50,8.6875,7.0,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,45,How to enable the nullglob option using the shopt command in bash?,01KSHSND4EPVKKS4PCDPDTKR7B,1,50,11.0625,5.625,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,46,how to remove leading zeros in posix shell,01KSHSNCZ9VNV59GGXQBJHHBPJ,1,50,8.5625,5.375,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,47,What is the content of SC3059.md?,01KSHSND5YNJZYGW26XF0PD0R0,1,50,7.75,3.3125,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,48,What is the content of SC2145.md?,01KSHSND7RW6EHB6V6W4HZ8ZM3,1,50,7.25,3.5625,1,1,1.000000,1.000000
C2_alpha_rerank,alpha,0.75,50,1,5,49,obsolete Bash syntax &>FILE and $[EXPRESSION] replacement,01KSHSND34K1ZWPANCKFSS6B67,1,50,6.375,3.1875,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,0,Are there any exceptions to the rule that `+=` is undefined in POSIX sh?,01KSHSND66G6AE7M0BECZKREST,0,50,8.0625,6.9375,0,0,0.000000,0.000000
C3_rrf_rerank,rrf,,50,1,5,1,SC2104.md,01KSHSND80A396HJ701A2TB9FW,1,50,8.1875,3.9375,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,2,How do I determine whether a variable is already defined? Or a function?,01KSHSND029K1S14CP1FHQTEH9,1,50,7.5625,5.8125,3,1,0.333333,0.500000
C3_rrf_rerank,rrf,,50,1,5,3,how to fetch ssh hostkeys and add to known_hosts without interaction,01KSHSND2RCY7CHWM7FA7WZB97,1,50,8.625,-6.0625,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,4,Why is ${$x} invalid in shell scripts and how to correctly use variable expansion and indirection?,01KSHSND6N5MGRV3JHMRAV4WG0,0,50,10.25,4.9375,0,0,0.000000,0.000000
C3_rrf_rerank,rrf,,50,1,5,5,SC2286.md,01KSHSND6R2KF0GY78D52GR4BV,1,50,8.0,3.9375,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,6,How to perform arithmetic evaluation in Bash using let and (( )) commands,01KSHSNCW876EV9G679ZTBEAB9,1,50,8.875,7.25,3,1,0.333333,0.500000
C3_rrf_rerank,rrf,,50,1,5,7,Are there exceptions to the rule that numbers with leading 0 are considered octal in Bash?,01KSHSND860E18852HZDRHQ16Y,1,50,8.0625,6.375,0,0,0.000000,0.000000
C3_rrf_rerank,rrf,,50,1,5,8,What is the historical relationship between bc and dc in Unix?,01KSHSND44D8XQPG0N023DTMG6,1,50,8.375,-0.4375,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,9,readline incremental search command history,01KSHSNCP4QVJ5E3899KKDN3KW,1,50,8.375,7.6875,3,1,0.333333,0.500000
C3_rrf_rerank,rrf,,50,1,5,10,"How to use ${@:START:COUNT} for expanding a range of positional parameters in Bash, including negative start values and differences between Bash 4 and older versions?",01KSHSND33D2JNEANE8TKRJBPJ,1,50,8.6875,6.1875,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,11,how to configure bash to archive command history by month using HISTFILE and date formatting,01KSHSND0579P0E32617QJ5WJ4,1,50,6.25,2.875,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,12,How does the [n]<>word redirection operator open files for both reading and writing in shell scripting?,01KSHSNCQG3AHQD1ZG8MSXQ7D5,1,50,9.1875,8.5,3,1,0.333333,0.500000
C3_rrf_rerank,rrf,,50,1,5,13,How to disable the warning when a function runs without set -e in an if condition in Bash?,01KSHSND6JVG7A73RM55KQQ7ES,1,50,8.1875,6.6875,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,14,bash history variables HISTSIZE HISTFILE HISTFILESIZE,01KSHSNCN4E4GQ4JCCB8MF8W9C,1,50,7.125,6.5,5,1,0.200000,0.386853
C3_rrf_rerank,rrf,,50,1,5,15,"How to use foo ""$@"" in a shell script to make function's $1 refer to script's $1?",01KSHSND7XV2EPM69M5B27W9HA,1,50,9.75,4.5,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,16,sh history expansion modifiers explanation,01KSHSNCR0046EPDH0CEY7J6V2,1,50,7.125,4.9375,0,0,0.000000,0.000000
C3_rrf_rerank,rrf,,50,1,5,17,how to use numbers with leading zeros in a bash loop using seq,01KSHSNCYA4WRGCVZ85JEQ8KJV,1,50,8.25,6.125,3,1,0.333333,0.500000
C3_rrf_rerank,rrf,,50,1,5,18,Bash loop commands syntax explanation,01KSHSND1B99JABS5DV0BKMXX0,1,50,6.75,4.3125,4,1,0.250000,0.430677
C3_rrf_rerank,rrf,,50,1,5,19,readline function manpage name section,01KSHSNCP059MHZR946HT1HQ6V,1,50,7.5625,5.3125,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,20,how to pass arguments with spaces in bash using arrays,01KSHSND84S923WGQRHDQSF0QC,0,50,6.0625,4.9375,0,0,0.000000,0.000000
C3_rrf_rerank,rrf,,50,1,5,21,How does Bash handle regular expressions with the =~ operator and BASH_REMATCH variable?,01KSHSNCVS9VGHHAEGBPQGTRBM,1,50,8.1875,4.8125,3,1,0.333333,0.500000
C3_rrf_rerank,rrf,,50,1,5,22,step 99.4 translate the strings,01KSHSND09JAAR298H1QFGWGPG,1,50,7.3125,1.875,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,23,What is the content of SC2075.md?,01KSHSND875BS6BTH9H81C61QH,1,50,7.0625,3.75,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,24,"In bats, why doesn't ! cause a test failure and how to fold it into a conditional?",01KSHSND6G8T6Q349J7HX8KE1M,1,50,10.6875,7.8125,5,1,0.200000,0.386853
C3_rrf_rerank,rrf,,50,1,5,25,declare command portability bash zsh posix,01KSHSND4VD23GPDDXCA8SBTXN,1,50,8.3125,6.75,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,26,Bash local variable outside function error,01KSHSND7KZDPQTK94MAKVKXA0,1,50,7.25,4.3125,2,1,0.500000,0.630930
C3_rrf_rerank,rrf,,50,1,5,27,ShellCheck SC2171 error trailing ] tr -d ] fix,01KSHSND7J1YWCYE2DDT16YT1E,1,50,7.9375,2.8125,2,1,0.500000,0.630930
C3_rrf_rerank,rrf,,50,1,5,28,What is the content of SC2073.md?,01KSHSND875BS6BTH9H81C61QS,1,50,7.0625,3.25,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,29,What is the content of SC2148.md?,01KSHSND7QYB0HKGB58BQA7NHR,1,50,7.5,3.4375,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,30,how to save a command as a function in bash to run later,01KSHSNCYZDAWVS4QJMWKX48TR,1,50,6.875,4.25,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,31,How do I disable the warning for a variable not being assigned when I intentionally didn't use it?,01KSHSND7PQVGDV80EC19Y7B63,1,50,7.375,5.5,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,32,Why is break or continue invalid outside a loop in scripting?,01KSHSND80A396HJ701A2TB9FV,1,50,8.375,6.0,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,33,How to handle unset terminal variables in bash when stderr is not connected to a terminal using tput?,01KSHSNCYSZ3RQ555QEF1PNF4S,1,50,7.8125,2.3125,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,34,How does quoting affect pattern matching in a Bash case statement?,01KSHSND16GFQMW1QEH51E1Y28,1,50,7.375,6.625,0,0,0.000000,0.000000
C3_rrf_rerank,rrf,,50,1,5,35,inconsistent output of which command across different operating systems and recommended alternatives,01KSHSND013361FTXN7GHXNKWX,1,50,8.0,-0.6875,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,36,command substitution syntax shell scripting best practices,01KSHSND30V9XRM99EKA1XFVQY,1,50,7.4375,7.1875,0,0,0.000000,0.000000
C3_rrf_rerank,rrf,,50,1,5,37,How does the Bourne find command with 2>&1 and >/dev/null redirection work?,01KSHSNCZ1109RS8387YG9A1FM,1,50,8.25,6.5,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,38,"Bash aliases vs functions: differences in behavior, limitations, and example of replacing an alias with a function",01KSHSNCW876EV9G679ZTBEABB,1,50,8.375,6.5,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,39,What is the content of the SC2083.md section?,01KSHSND85B7WBD71QPWX99YRP,1,50,5.9375,3.0625,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,40,how to convert filenames to lowercase using rename command in Linux,01KSHSNCYKX3NAEHHEYH9E0FFK,1,50,7.75,6.0625,4,1,0.250000,0.430677
C3_rrf_rerank,rrf,,50,1,5,41,How to add color to terminal scripts using ANSI codes,01KSHSND2XBGR79KE9MES6BGKH,1,50,7.1875,4.9375,0,0,0.000000,0.000000
C3_rrf_rerank,rrf,,50,1,5,42,How can I avoid losing any history lines?,01KSHSNCWTSYN79T85P20X2VE6,1,50,8.125,4.5,3,1,0.333333,0.500000
C3_rrf_rerank,rrf,,50,1,5,43,introduction to ANSI/VT100 terminal codes in bash scripting,01KSHSND2YVHM55A9K19SZXT5G,1,50,10.4375,3.25,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,44,process substitution bugs and portability issues in bash and other shells,01KSHSND4ZG6ZXHS42S8C1W7HY,1,50,8.75,7.0625,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,45,How to enable the nullglob option using the shopt command in bash?,01KSHSND4EPVKKS4PCDPDTKR7B,1,50,11.125,5.5,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,46,how to remove leading zeros in posix shell,01KSHSNCZ9VNV59GGXQBJHHBPJ,1,50,8.5625,5.4375,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,47,What is the content of SC3059.md?,01KSHSND5YNJZYGW26XF0PD0R0,1,50,7.5625,3.3125,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,48,What is the content of SC2145.md?,01KSHSND7RW6EHB6V6W4HZ8ZM3,1,50,7.125,3.5,1,1,1.000000,1.000000
C3_rrf_rerank,rrf,,50,1,5,49,obsolete Bash syntax &>FILE and $[EXPRESSION] replacement,01KSHSND34K1ZWPANCKFSS6B67,1,50,6.4375,3.3125,1,1,1.000000,1.000000
