model,task,category,seed,status,end_state,tool_correctness,budget_respected,trajectory_judge,actual_turns,tool_call_count,error
gpt-oss-120b-cloud,code-find-and-fix-bug,code,1,done,1.000,1.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,2,done,1.000,0.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,3,done,1.000,0.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,4,done,1.000,1.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,5,done,1.000,0.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,6,done,1.000,1.000,1.000,,5,4,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,7,done,1.000,1.000,1.000,,6,5,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,8,done,1.000,0.000,1.000,,5,4,
gpt-oss-120b-cloud,code-read-and-explain,code,1,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,2,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,3,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,4,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,5,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,6,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,7,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-read-and-explain,code,8,done,1.000,1.000,1.000,1.000,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,1,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,2,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,3,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,code-write-and-execute,code,4,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,5,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,code-write-and-execute,code,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,7,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,code-write-and-execute,code,8,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,1,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,2,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,3,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,4,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,5,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,6,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,7,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,8,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,fs-read-and-copy,fs,1,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-read-and-copy,fs,2,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-read-and-copy,fs,3,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-read-and-copy,fs,4,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-read-and-copy,fs,5,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-read-and-copy,fs,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-read-and-copy,fs,7,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-read-and-copy,fs,8,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,1,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,2,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,3,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,4,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,5,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,7,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,8,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-count,http,1,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-count,http,2,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-count,http,3,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-count,http,4,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-count,http,5,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-count,http,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-count,http,7,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-count,http,8,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-extract,http,1,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-extract,http,2,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-extract,http,3,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-extract,http,4,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-extract,http,5,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-extract,http,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-extract,http,7,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,http-fetch-and-extract,http,8,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-db-self-check,multi,1,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-db-self-check,multi,2,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-db-self-check,multi,3,done,1.000,0.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-db-self-check,multi,4,done,1.000,0.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-db-self-check,multi,5,done,1.000,0.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-db-self-check,multi,6,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-db-self-check,multi,7,done,1.000,0.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-db-self-check,multi,8,done,1.000,0.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-words-and-hash,multi,1,done,0.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,2,done,0.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,3,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,4,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,5,done,0.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-words-and-hash,multi,7,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,8,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,shell-count-lines,shell,1,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,2,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,3,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,4,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,5,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,7,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,8,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,1,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,2,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,3,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,4,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,5,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,7,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,8,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,code-find-and-fix-bug,code,1,done,0.000,0.000,1.000,,6,5,
qwen3-14b-q4,code-find-and-fix-bug,code,2,done,0.000,1.000,0.000,,6,6,
qwen3-14b-q4,code-find-and-fix-bug,code,3,done,0.000,1.000,0.000,,6,6,
qwen3-14b-q4,code-find-and-fix-bug,code,4,done,0.000,1.000,0.000,,6,6,
qwen3-14b-q4,code-find-and-fix-bug,code,5,done,0.000,1.000,0.000,,6,6,
qwen3-14b-q4,code-find-and-fix-bug,code,6,done,0.000,1.000,0.000,,6,6,
qwen3-14b-q4,code-find-and-fix-bug,code,7,done,0.000,1.000,0.000,,6,6,
qwen3-14b-q4,code-find-and-fix-bug,code,8,done,0.000,1.000,0.000,,6,6,
qwen3-14b-q4,code-read-and-explain,code,1,done,1.000,1.000,1.000,1.000,3,2,
qwen3-14b-q4,code-read-and-explain,code,2,done,1.000,1.000,1.000,1.000,3,2,
qwen3-14b-q4,code-read-and-explain,code,3,done,1.000,1.000,1.000,1.000,3,2,
qwen3-14b-q4,code-read-and-explain,code,4,done,1.000,1.000,1.000,1.000,3,2,
qwen3-14b-q4,code-read-and-explain,code,5,done,1.000,1.000,1.000,1.000,3,2,
qwen3-14b-q4,code-read-and-explain,code,6,done,1.000,1.000,1.000,1.000,3,2,
qwen3-14b-q4,code-read-and-explain,code,7,done,1.000,1.000,1.000,1.000,3,2,
qwen3-14b-q4,code-read-and-explain,code,8,done,1.000,1.000,1.000,1.000,3,2,
qwen3-14b-q4,code-write-and-execute,code,1,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,code-write-and-execute,code,2,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,code-write-and-execute,code,3,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,code-write-and-execute,code,4,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,code-write-and-execute,code,5,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,code-write-and-execute,code,6,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,code-write-and-execute,code,7,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,code-write-and-execute,code,8,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-grep-extract-and-write,fs,1,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-grep-extract-and-write,fs,2,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-grep-extract-and-write,fs,3,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-grep-extract-and-write,fs,4,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-grep-extract-and-write,fs,5,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-grep-extract-and-write,fs,6,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-grep-extract-and-write,fs,7,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-grep-extract-and-write,fs,8,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-read-and-copy,fs,1,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-read-and-copy,fs,2,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-read-and-copy,fs,3,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-read-and-copy,fs,4,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-read-and-copy,fs,5,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-read-and-copy,fs,6,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-read-and-copy,fs,7,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-read-and-copy,fs,8,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-write-csv-summary,fs,1,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-write-csv-summary,fs,2,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-write-csv-summary,fs,3,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-write-csv-summary,fs,4,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-write-csv-summary,fs,5,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-write-csv-summary,fs,6,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-write-csv-summary,fs,7,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,fs-write-csv-summary,fs,8,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,http-fetch-and-count,http,1,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-count,http,2,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-count,http,3,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-count,http,4,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-count,http,5,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-count,http,6,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-count,http,7,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-count,http,8,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-extract,http,1,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-extract,http,2,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-extract,http,3,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-extract,http,4,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-extract,http,5,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-extract,http,6,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-extract,http,7,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,http-fetch-and-extract,http,8,done,0.000,1.000,1.000,,2,2,
qwen3-14b-q4,multi-db-self-check,multi,1,done,1.000,1.000,1.000,,4,3,
qwen3-14b-q4,multi-db-self-check,multi,2,done,1.000,1.000,1.000,,4,3,
qwen3-14b-q4,multi-db-self-check,multi,3,done,1.000,1.000,1.000,,4,3,
qwen3-14b-q4,multi-db-self-check,multi,4,done,1.000,1.000,1.000,,4,3,
qwen3-14b-q4,multi-db-self-check,multi,5,done,1.000,1.000,1.000,,4,3,
qwen3-14b-q4,multi-db-self-check,multi,6,done,1.000,1.000,1.000,,4,3,
qwen3-14b-q4,multi-db-self-check,multi,7,done,1.000,1.000,1.000,,4,3,
qwen3-14b-q4,multi-db-self-check,multi,8,done,1.000,1.000,1.000,,4,3,
qwen3-14b-q4,multi-words-and-hash,multi,1,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,multi-words-and-hash,multi,2,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,multi-words-and-hash,multi,3,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,multi-words-and-hash,multi,4,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,multi-words-and-hash,multi,5,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,multi-words-and-hash,multi,6,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,multi-words-and-hash,multi,7,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,multi-words-and-hash,multi,8,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,shell-count-lines,shell,1,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,shell-count-lines,shell,2,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,shell-count-lines,shell,3,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,shell-count-lines,shell,4,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,shell-count-lines,shell,5,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,shell-count-lines,shell,6,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,shell-count-lines,shell,7,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,shell-count-lines,shell,8,done,0.000,1.000,1.000,,2,3,
qwen3-14b-q4,shell-pipeline-extract,shell,1,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,shell-pipeline-extract,shell,2,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,shell-pipeline-extract,shell,3,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,shell-pipeline-extract,shell,4,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,shell-pipeline-extract,shell,5,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,shell-pipeline-extract,shell,6,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,shell-pipeline-extract,shell,7,done,1.000,1.000,1.000,,3,2,
qwen3-14b-q4,shell-pipeline-extract,shell,8,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,code-find-and-fix-bug,code,1,done,0.000,0.000,1.000,,2,1,
qwen3-30b-a3b-moe,code-find-and-fix-bug,code,2,done,0.000,0.000,1.000,,2,1,
qwen3-30b-a3b-moe,code-find-and-fix-bug,code,3,done,0.000,0.000,1.000,,2,1,
qwen3-30b-a3b-moe,code-find-and-fix-bug,code,4,done,0.000,0.000,1.000,,2,1,
qwen3-30b-a3b-moe,code-find-and-fix-bug,code,5,done,0.000,0.000,1.000,,2,1,
qwen3-30b-a3b-moe,code-find-and-fix-bug,code,6,done,0.000,0.000,1.000,,2,1,
qwen3-30b-a3b-moe,code-find-and-fix-bug,code,7,done,0.000,0.000,1.000,,2,1,
qwen3-30b-a3b-moe,code-find-and-fix-bug,code,8,done,0.000,0.000,1.000,,2,1,
qwen3-30b-a3b-moe,code-read-and-explain,code,1,done,1.000,1.000,1.000,1.000,3,2,
qwen3-30b-a3b-moe,code-read-and-explain,code,2,done,1.000,1.000,1.000,1.000,3,2,
qwen3-30b-a3b-moe,code-read-and-explain,code,3,done,1.000,1.000,1.000,1.000,3,2,
qwen3-30b-a3b-moe,code-read-and-explain,code,4,done,1.000,1.000,1.000,1.000,3,2,
qwen3-30b-a3b-moe,code-read-and-explain,code,5,done,1.000,1.000,1.000,1.000,3,2,
qwen3-30b-a3b-moe,code-read-and-explain,code,6,done,1.000,1.000,1.000,1.000,3,2,
qwen3-30b-a3b-moe,code-read-and-explain,code,7,done,1.000,1.000,1.000,1.000,3,2,
qwen3-30b-a3b-moe,code-read-and-explain,code,8,done,1.000,1.000,1.000,1.000,3,2,
qwen3-30b-a3b-moe,code-write-and-execute,code,1,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,code-write-and-execute,code,2,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,code-write-and-execute,code,3,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,code-write-and-execute,code,4,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,code-write-and-execute,code,5,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,code-write-and-execute,code,6,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,code-write-and-execute,code,7,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,code-write-and-execute,code,8,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,1,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,2,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,3,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,4,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,5,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,6,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,7,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,8,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,1,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,2,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,3,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,4,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,5,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,6,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,7,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,8,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,1,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,2,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,3,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,4,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,5,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,6,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,7,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,8,done,1.000,1.000,1.000,,3,2,
qwen3-30b-a3b-moe,http-fetch-and-count,http,1,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-count,http,2,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-count,http,3,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-count,http,4,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-count,http,5,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-count,http,6,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-count,http,7,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-count,http,8,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,1,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,2,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,3,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,4,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,5,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,6,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,7,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,8,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,multi-db-self-check,multi,1,done,1.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,multi-db-self-check,multi,2,done,1.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,multi-db-self-check,multi,3,done,1.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,multi-db-self-check,multi,4,done,1.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,multi-db-self-check,multi,5,done,1.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,multi-db-self-check,multi,6,done,1.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,multi-db-self-check,multi,7,done,1.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,multi-db-self-check,multi,8,done,1.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,multi-words-and-hash,multi,1,done,1.000,1.000,1.000,,4,3,
qwen3-30b-a3b-moe,multi-words-and-hash,multi,2,done,1.000,1.000,1.000,,4,3,
qwen3-30b-a3b-moe,multi-words-and-hash,multi,3,done,1.000,1.000,1.000,,4,3,
qwen3-30b-a3b-moe,multi-words-and-hash,multi,4,done,1.000,1.000,1.000,,4,3,
qwen3-30b-a3b-moe,multi-words-and-hash,multi,5,done,1.000,1.000,1.000,,4,3,
qwen3-30b-a3b-moe,multi-words-and-hash,multi,6,done,1.000,1.000,1.000,,4,3,
qwen3-30b-a3b-moe,multi-words-and-hash,multi,7,done,1.000,1.000,1.000,,4,3,
qwen3-30b-a3b-moe,multi-words-and-hash,multi,8,done,1.000,1.000,1.000,,4,3,
qwen3-30b-a3b-moe,shell-count-lines,shell,1,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-count-lines,shell,2,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-count-lines,shell,3,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-count-lines,shell,4,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-count-lines,shell,5,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-count-lines,shell,6,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-count-lines,shell,7,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-count-lines,shell,8,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-pipeline-extract,shell,1,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-pipeline-extract,shell,2,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-pipeline-extract,shell,3,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-pipeline-extract,shell,4,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-pipeline-extract,shell,5,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-pipeline-extract,shell,6,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-pipeline-extract,shell,7,done,0.000,0.000,1.000,,1,0,
qwen3-30b-a3b-moe,shell-pipeline-extract,shell,8,done,0.000,0.000,1.000,,1,0,
