model,task,category,seed,status,end_state,tool_correctness,budget_respected,trajectory_judge,actual_turns,tool_call_count,tokens_in,tokens_out,error
gpt-oss-120b-cloud,code-find-and-fix-bug,code,1,done,1.000,0.000,1.000,,6,5,5786,354,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,2,done,1.000,0.000,1.000,,5,4,4638,305,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,3,done,1.000,0.000,1.000,,6,5,5721,351,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,4,done,1.000,0.000,1.000,,5,4,4650,334,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,5,done,1.000,0.000,1.000,,5,4,4638,286,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,6,done,1.000,0.000,1.000,,6,5,5786,386,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,7,done,1.000,1.000,1.000,,6,5,5746,386,
gpt-oss-120b-cloud,code-find-and-fix-bug,code,8,done,1.000,0.000,1.000,,5,4,4670,388,
gpt-oss-120b-cloud,code-read-and-explain,code,1,done,1.000,1.000,1.000,1.000,3,2,2283,222,
gpt-oss-120b-cloud,code-read-and-explain,code,2,done,1.000,1.000,1.000,1.000,3,2,2284,272,
gpt-oss-120b-cloud,code-read-and-explain,code,3,done,1.000,1.000,1.000,1.000,3,2,2282,262,
gpt-oss-120b-cloud,code-read-and-explain,code,4,done,1.000,1.000,1.000,1.000,3,2,2277,238,
gpt-oss-120b-cloud,code-read-and-explain,code,5,done,1.000,1.000,1.000,1.000,3,2,2277,273,
gpt-oss-120b-cloud,code-read-and-explain,code,6,done,1.000,1.000,1.000,1.000,3,2,2274,269,
gpt-oss-120b-cloud,code-read-and-explain,code,7,done,1.000,1.000,1.000,1.000,3,2,2270,195,
gpt-oss-120b-cloud,code-read-and-explain,code,8,done,1.000,1.000,1.000,1.000,3,2,2283,223,
gpt-oss-120b-cloud,code-write-and-execute,code,1,done,1.000,1.000,1.000,,3,2,1506,132,
gpt-oss-120b-cloud,code-write-and-execute,code,2,done,1.000,1.000,1.000,,4,3,2132,161,
gpt-oss-120b-cloud,code-write-and-execute,code,3,done,1.000,1.000,1.000,,4,3,2127,211,
gpt-oss-120b-cloud,code-write-and-execute,code,4,done,1.000,1.000,1.000,,3,2,1506,149,
gpt-oss-120b-cloud,code-write-and-execute,code,5,done,1.000,1.000,1.000,,4,3,2127,189,
gpt-oss-120b-cloud,code-write-and-execute,code,6,done,1.000,1.000,1.000,,4,3,2127,175,
gpt-oss-120b-cloud,code-write-and-execute,code,7,done,1.000,1.000,1.000,,4,3,2127,194,
gpt-oss-120b-cloud,code-write-and-execute,code,8,done,1.000,1.000,1.000,,4,3,2127,144,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,1,done,1.000,1.000,1.000,,4,3,2993,230,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,2,done,1.000,1.000,1.000,,4,3,2985,248,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,3,done,1.000,1.000,1.000,,4,3,2998,235,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,4,done,1.000,1.000,1.000,,4,3,2998,271,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,5,done,1.000,1.000,1.000,,4,3,2993,241,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,6,done,1.000,1.000,1.000,,4,3,2985,218,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,7,done,1.000,1.000,1.000,,4,3,2993,217,
gpt-oss-120b-cloud,fs-grep-extract-and-write,fs,8,done,1.000,1.000,1.000,,4,3,2993,249,
gpt-oss-120b-cloud,fs-read-and-copy,fs,1,done,1.000,1.000,1.000,,3,2,1657,126,
gpt-oss-120b-cloud,fs-read-and-copy,fs,2,done,1.000,1.000,1.000,,3,2,1657,124,
gpt-oss-120b-cloud,fs-read-and-copy,fs,3,done,1.000,1.000,1.000,,3,2,1657,124,
gpt-oss-120b-cloud,fs-read-and-copy,fs,4,done,1.000,1.000,1.000,,3,2,1657,135,
gpt-oss-120b-cloud,fs-read-and-copy,fs,5,done,1.000,1.000,1.000,,3,2,1657,116,
gpt-oss-120b-cloud,fs-read-and-copy,fs,6,done,1.000,1.000,1.000,,3,2,1657,120,
gpt-oss-120b-cloud,fs-read-and-copy,fs,7,done,1.000,1.000,1.000,,3,2,1657,108,
gpt-oss-120b-cloud,fs-read-and-copy,fs,8,done,1.000,1.000,1.000,,3,2,1657,125,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,1,done,1.000,1.000,1.000,,3,2,1707,172,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,2,done,1.000,1.000,1.000,,3,2,1707,155,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,3,done,1.000,1.000,1.000,,3,2,1709,169,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,4,done,1.000,1.000,1.000,,3,2,1709,155,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,5,done,1.000,1.000,1.000,,3,2,1709,181,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,6,done,1.000,1.000,1.000,,3,2,1707,181,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,7,done,1.000,1.000,1.000,,3,2,1707,164,
gpt-oss-120b-cloud,fs-write-csv-summary,fs,8,done,1.000,1.000,1.000,,3,2,1707,167,
gpt-oss-120b-cloud,http-fetch-and-count,http,1,done,1.000,1.000,1.000,,3,2,2178,334,
gpt-oss-120b-cloud,http-fetch-and-count,http,2,done,1.000,1.000,1.000,,3,2,2178,248,
gpt-oss-120b-cloud,http-fetch-and-count,http,3,done,1.000,1.000,1.000,,3,2,2178,191,
gpt-oss-120b-cloud,http-fetch-and-count,http,4,done,1.000,1.000,1.000,,3,2,2178,263,
gpt-oss-120b-cloud,http-fetch-and-count,http,5,done,1.000,1.000,1.000,,3,2,2178,251,
gpt-oss-120b-cloud,http-fetch-and-count,http,6,done,1.000,1.000,1.000,,3,2,2178,358,
gpt-oss-120b-cloud,http-fetch-and-count,http,7,done,1.000,1.000,1.000,,3,2,2178,260,
gpt-oss-120b-cloud,http-fetch-and-count,http,8,done,1.000,1.000,1.000,,3,2,2178,224,
gpt-oss-120b-cloud,http-fetch-and-extract,http,1,done,1.000,1.000,1.000,,3,2,1814,161,
gpt-oss-120b-cloud,http-fetch-and-extract,http,2,done,1.000,1.000,1.000,,3,2,1814,154,
gpt-oss-120b-cloud,http-fetch-and-extract,http,3,done,1.000,1.000,1.000,,3,2,1814,154,
gpt-oss-120b-cloud,http-fetch-and-extract,http,4,done,1.000,1.000,1.000,,3,2,1814,162,
gpt-oss-120b-cloud,http-fetch-and-extract,http,5,done,1.000,1.000,1.000,,3,2,1814,145,
gpt-oss-120b-cloud,http-fetch-and-extract,http,6,done,1.000,1.000,1.000,,3,2,1814,145,
gpt-oss-120b-cloud,http-fetch-and-extract,http,7,done,1.000,1.000,1.000,,3,2,1814,153,
gpt-oss-120b-cloud,http-fetch-and-extract,http,8,done,1.000,1.000,1.000,,3,2,1814,134,
gpt-oss-120b-cloud,multi-db-self-check,multi,1,done,1.000,1.000,1.000,,4,3,2834,208,
gpt-oss-120b-cloud,multi-db-self-check,multi,2,done,1.000,1.000,1.000,,4,3,2860,236,
gpt-oss-120b-cloud,multi-db-self-check,multi,3,done,1.000,0.000,1.000,,3,2,2003,185,
gpt-oss-120b-cloud,multi-db-self-check,multi,4,done,1.000,0.000,1.000,,3,2,2003,151,
gpt-oss-120b-cloud,multi-db-self-check,multi,5,done,1.000,1.000,1.000,,4,3,2868,258,
gpt-oss-120b-cloud,multi-db-self-check,multi,6,done,1.000,1.000,1.000,,4,3,2856,225,
gpt-oss-120b-cloud,multi-db-self-check,multi,7,done,1.000,1.000,1.000,,4,3,2856,221,
gpt-oss-120b-cloud,multi-db-self-check,multi,8,done,1.000,1.000,1.000,,4,3,2858,212,
gpt-oss-120b-cloud,multi-words-and-hash,multi,1,done,0.000,1.000,1.000,,4,3,4280,243,
gpt-oss-120b-cloud,multi-words-and-hash,multi,2,done,1.000,1.000,1.000,,4,3,4282,212,
gpt-oss-120b-cloud,multi-words-and-hash,multi,3,done,1.000,1.000,1.000,,4,3,4286,251,
gpt-oss-120b-cloud,multi-words-and-hash,multi,4,done,0.000,1.000,1.000,,4,3,4252,285,
gpt-oss-120b-cloud,multi-words-and-hash,multi,5,done,0.000,1.000,1.000,,4,3,4280,213,
gpt-oss-120b-cloud,multi-words-and-hash,multi,6,done,1.000,1.000,1.000,,4,3,4280,246,
gpt-oss-120b-cloud,multi-words-and-hash,multi,7,done,1.000,1.000,1.000,,5,4,5536,388,
gpt-oss-120b-cloud,multi-words-and-hash,multi,8,done,1.000,1.000,1.000,,4,3,4286,267,
gpt-oss-120b-cloud,shell-count-lines,shell,1,done,1.000,1.000,1.000,,3,2,1573,156,
gpt-oss-120b-cloud,shell-count-lines,shell,2,done,1.000,1.000,1.000,,3,2,1573,152,
gpt-oss-120b-cloud,shell-count-lines,shell,3,done,1.000,1.000,1.000,,3,2,1573,143,
gpt-oss-120b-cloud,shell-count-lines,shell,4,done,1.000,1.000,1.000,,3,2,1573,128,
gpt-oss-120b-cloud,shell-count-lines,shell,5,done,1.000,1.000,1.000,,3,2,1573,131,
gpt-oss-120b-cloud,shell-count-lines,shell,6,done,1.000,1.000,1.000,,3,2,1573,153,
gpt-oss-120b-cloud,shell-count-lines,shell,7,done,1.000,1.000,1.000,,3,2,1573,122,
gpt-oss-120b-cloud,shell-count-lines,shell,8,done,1.000,1.000,1.000,,3,2,1573,135,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,1,done,1.000,1.000,1.000,,3,2,2071,213,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,2,done,1.000,1.000,1.000,,3,2,2071,173,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,3,done,1.000,1.000,1.000,,3,2,2078,162,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,4,done,1.000,1.000,1.000,,3,2,2071,168,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,5,done,1.000,1.000,1.000,,3,2,2071,173,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,6,done,1.000,1.000,1.000,,3,2,2078,140,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,7,done,1.000,1.000,1.000,,3,2,2071,187,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,8,done,1.000,1.000,1.000,,3,2,2071,225,
qwen3-14b-q4,code-find-and-fix-bug,code,1,done,0.000,0.000,0.000,,6,6,6075,274,
qwen3-14b-q4,code-find-and-fix-bug,code,2,done,0.000,0.000,0.000,,6,6,6075,274,
qwen3-14b-q4,code-find-and-fix-bug,code,3,done,0.000,0.000,0.000,,6,6,6075,274,
qwen3-14b-q4,code-find-and-fix-bug,code,4,done,0.000,0.000,0.000,,6,6,6075,274,
qwen3-14b-q4,code-find-and-fix-bug,code,5,done,0.000,0.000,0.000,,6,6,6075,274,
qwen3-14b-q4,code-find-and-fix-bug,code,6,done,0.000,0.000,0.000,,6,6,6075,274,
qwen3-14b-q4,code-find-and-fix-bug,code,7,done,0.000,0.000,0.000,,6,6,6075,274,
qwen3-14b-q4,code-find-and-fix-bug,code,8,done,0.000,0.000,0.000,,6,6,6075,274,
qwen3-14b-q4,code-read-and-explain,code,1,done,1.000,1.000,1.000,1.000,3,2,2504,97,
qwen3-14b-q4,code-read-and-explain,code,2,done,1.000,1.000,1.000,1.000,3,2,2504,97,
qwen3-14b-q4,code-read-and-explain,code,3,done,1.000,1.000,1.000,1.000,3,2,2504,97,
qwen3-14b-q4,code-read-and-explain,code,4,done,1.000,1.000,1.000,1.000,3,2,2504,97,
qwen3-14b-q4,code-read-and-explain,code,5,done,1.000,1.000,1.000,1.000,3,2,2504,97,
qwen3-14b-q4,code-read-and-explain,code,6,done,1.000,1.000,1.000,1.000,3,2,2504,97,
qwen3-14b-q4,code-read-and-explain,code,7,done,1.000,1.000,1.000,1.000,3,2,2504,97,
qwen3-14b-q4,code-read-and-explain,code,8,done,1.000,1.000,1.000,1.000,3,2,2504,97,
qwen3-14b-q4,code-write-and-execute,code,1,done,1.000,1.000,1.000,,2,2,1104,78,
qwen3-14b-q4,code-write-and-execute,code,2,done,1.000,1.000,1.000,,2,2,1104,78,
qwen3-14b-q4,code-write-and-execute,code,3,done,1.000,1.000,1.000,,2,2,1104,78,
qwen3-14b-q4,code-write-and-execute,code,4,done,1.000,1.000,1.000,,2,2,1104,78,
qwen3-14b-q4,code-write-and-execute,code,5,done,1.000,1.000,1.000,,2,2,1104,78,
qwen3-14b-q4,code-write-and-execute,code,6,done,1.000,1.000,1.000,,2,2,1104,78,
qwen3-14b-q4,code-write-and-execute,code,7,done,1.000,1.000,1.000,,2,2,1104,78,
qwen3-14b-q4,code-write-and-execute,code,8,done,1.000,1.000,1.000,,2,2,1104,78,
qwen3-14b-q4,fs-grep-extract-and-write,fs,1,done,1.000,1.000,1.000,,3,2,2387,82,
qwen3-14b-q4,fs-grep-extract-and-write,fs,2,done,1.000,1.000,1.000,,3,2,2387,82,
qwen3-14b-q4,fs-grep-extract-and-write,fs,3,done,1.000,1.000,1.000,,3,2,2387,82,
qwen3-14b-q4,fs-grep-extract-and-write,fs,4,done,1.000,1.000,1.000,,3,2,2387,82,
qwen3-14b-q4,fs-grep-extract-and-write,fs,5,done,1.000,1.000,1.000,,3,2,2387,82,
qwen3-14b-q4,fs-grep-extract-and-write,fs,6,done,1.000,1.000,1.000,,3,2,2387,82,
qwen3-14b-q4,fs-grep-extract-and-write,fs,7,done,1.000,1.000,1.000,,3,2,2387,82,
qwen3-14b-q4,fs-grep-extract-and-write,fs,8,done,1.000,1.000,1.000,,3,2,2387,82,
qwen3-14b-q4,fs-read-and-copy,fs,1,done,1.000,1.000,1.000,,3,2,1813,72,
qwen3-14b-q4,fs-read-and-copy,fs,2,done,1.000,1.000,1.000,,3,2,1813,72,
qwen3-14b-q4,fs-read-and-copy,fs,3,done,1.000,1.000,1.000,,3,2,1813,72,
qwen3-14b-q4,fs-read-and-copy,fs,4,done,1.000,1.000,1.000,,3,2,1813,72,
qwen3-14b-q4,fs-read-and-copy,fs,5,done,1.000,1.000,1.000,,3,2,1813,72,
qwen3-14b-q4,fs-read-and-copy,fs,6,done,1.000,1.000,1.000,,3,2,1813,72,
qwen3-14b-q4,fs-read-and-copy,fs,7,done,1.000,1.000,1.000,,3,2,1813,72,
qwen3-14b-q4,fs-read-and-copy,fs,8,done,1.000,1.000,1.000,,3,2,1813,72,
qwen3-14b-q4,fs-write-csv-summary,fs,1,done,1.000,1.000,1.000,,3,2,1871,69,
qwen3-14b-q4,fs-write-csv-summary,fs,2,done,1.000,1.000,1.000,,3,2,1871,69,
qwen3-14b-q4,fs-write-csv-summary,fs,3,done,1.000,1.000,1.000,,3,2,1871,69,
qwen3-14b-q4,fs-write-csv-summary,fs,4,done,1.000,1.000,1.000,,3,2,1871,69,
qwen3-14b-q4,fs-write-csv-summary,fs,5,done,1.000,1.000,1.000,,3,2,1871,69,
qwen3-14b-q4,fs-write-csv-summary,fs,6,done,1.000,1.000,1.000,,3,2,1871,69,
