model,task,category,s1,s2,s3,s4,s5,s6,s7,s8,passes,n
devstral-24b,code-dijkstra-multifile,code,0,0,0,0,0,0,0,0,0,8
devstral-24b,code-expr-parser-fix,code,1,1,1,1,1,1,1,1,8,8
devstral-24b,code-fibonacci-bug-fix,code,1,1,1,1,1,1,1,1,8,8
devstral-24b,code-interval-merge-fix,code,1,1,1,1,1,1,1,1,8,8
devstral-24b,code-lru-cache-trace,code,1,1,1,1,1,1,1,1,8,8
devstral-24b,code-param-count-analysis,code,0,0,0,0,0,0,0,0,0,8
devstral-24b,code-sample-variance-fix,code,1,0,0,0,0,0,1,0,2,8
devstral-24b,code-topo-sort,code,0,0,0,0,0,0,0,0,0,8
devstral-24b,data-csv-join-revenue-by-region,data,0,0,0,0,0,0,0,0,0,8
devstral-24b,data-duplicate-transaction-count,data,0,0,0,0,0,0,0,0,0,8
devstral-24b,data-inventory-turnover,data,1,1,1,1,1,1,1,1,8,8
devstral-24b,data-json-flatten-top-spender,data,1,0,0,0,0,0,0,0,1,8
devstral-24b,data-jsonl-session-median-duration,data,1,1,1,1,1,1,1,1,8,8
devstral-24b,data-log-parse-p95-latency,data,0,0,0,0,0,0,0,0,0,8
devstral-24b,data-multi-file-weighted-score,data,1,0,0,0,0,0,0,0,1,8
devstral-24b,data-payment-reconciliation,data,1,1,1,1,1,1,1,1,8,8
devstral-24b,multi-anomaly-detection-script,multi,0,0,0,0,0,0,0,0,0,8
devstral-24b,multi-config-driven-transform,multi,0,1,0,1,0,0,1,1,4,8
devstral-24b,multi-etl-log-user-join,multi,1,1,1,1,1,1,1,1,8,8
devstral-24b,multi-event-session-http-enrich,multi,1,1,1,1,1,1,1,1,8,8
devstral-24b,multi-grep-weighted-todo,multi,1,1,0,1,0,1,0,1,5,8
devstral-24b,multi-http-catalog-pricing,multi,1,1,1,1,1,1,1,1,8,8
devstral-24b,multi-http-index-aggregate,multi,1,1,1,1,1,1,1,1,8,8
devstral-24b,multi-manifest-validate-compute,multi,0,0,0,0,0,0,0,0,0,8
devstral-24b,shell-access-log-slow-error-endpoints,shell,0,0,0,0,0,0,0,0,0,8
devstral-24b,shell-dept-salary-sum,shell,1,1,1,1,1,1,1,1,8,8
devstral-24b,shell-fragment-reassembly,shell,1,1,1,1,1,1,1,1,8,8
devstral-24b,shell-multifile-dedup-latest,shell,0,0,0,0,0,0,0,0,0,8
devstral-24b,shell-sensitive-config-keys,shell,0,0,0,0,0,0,0,0,0,8
devstral-24b,shell-session-duration-per-user,shell,1,1,1,1,1,1,1,1,8,8
devstral-24b,shell-top-error-sources,shell,0,0,0,0,0,0,0,0,0,8
devstral-24b,shell-tsv-dedup-median-by-dept,shell,1,1,1,1,1,1,1,1,8,8
gemma4-12b,code-dijkstra-multifile,code,1,1,1,1,1,1,1,1,8,8
gemma4-12b,code-expr-parser-fix,code,1,1,1,1,1,1,1,1,8,8
gemma4-12b,code-fibonacci-bug-fix,code,1,1,1,1,1,1,1,1,8,8
gemma4-12b,code-interval-merge-fix,code,0,0,0,0,0,0,0,0,0,8
gemma4-12b,code-lru-cache-trace,code,1,0,0,0,0,0,0,0,1,8
gemma4-12b,code-param-count-analysis,code,1,1,1,1,1,1,1,1,8,8
gemma4-12b,code-sample-variance-fix,code,1,1,1,1,1,1,1,1,8,8
gemma4-12b,code-topo-sort,code,1,1,1,1,1,1,1,1,8,8
gemma4-12b,data-csv-join-revenue-by-region,data,1,1,1,1,1,1,1,1,8,8
gemma4-12b,data-duplicate-transaction-count,data,1,1,1,1,1,1,1,1,8,8
gemma4-12b,data-inventory-turnover,data,1,1,1,1,1,1,1,1,8,8
gemma4-12b,data-json-flatten-top-spender,data,1,1,1,1,1,1,1,1,8,8
gemma4-12b,data-jsonl-session-median-duration,data,1,1,1,1,1,1,1,1,8,8
gemma4-12b,data-log-parse-p95-latency,data,1,1,1,1,1,1,1,1,8,8
gemma4-12b,data-multi-file-weighted-score,data,1,1,1,1,1,1,1,1,8,8
gemma4-12b,data-payment-reconciliation,data,1,1,1,1,1,1,1,1,8,8
gemma4-12b,multi-anomaly-detection-script,multi,1,1,1,1,1,1,1,1,8,8
gemma4-12b,multi-config-driven-transform,multi,1,1,1,1,1,1,1,1,8,8
gemma4-12b,multi-etl-log-user-join,multi,1,1,1,1,1,1,1,1,8,8
gemma4-12b,multi-event-session-http-enrich,multi,1,1,1,1,1,1,1,1,8,8
gemma4-12b,multi-grep-weighted-todo,multi,1,1,1,1,1,1,1,1,8,8
gemma4-12b,multi-http-catalog-pricing,multi,1,1,1,1,1,1,1,1,8,8
gemma4-12b,multi-http-index-aggregate,multi,1,1,1,1,1,1,1,1,8,8
gemma4-12b,multi-manifest-validate-compute,multi,1,1,1,1,1,1,1,1,8,8
gemma4-12b,shell-access-log-slow-error-endpoints,shell,0,0,1,0,1,0,1,1,4,8
gemma4-12b,shell-dept-salary-sum,shell,1,1,1,1,1,1,1,1,8,8
gemma4-12b,shell-fragment-reassembly,shell,1,1,1,1,1,1,1,1,8,8
gemma4-12b,shell-multifile-dedup-latest,shell,1,1,1,1,1,1,1,1,8,8
gemma4-12b,shell-sensitive-config-keys,shell,1,1,1,1,1,1,1,1,8,8
gemma4-12b,shell-session-duration-per-user,shell,1,1,1,1,1,1,1,1,8,8
gemma4-12b,shell-top-error-sources,shell,0,0,1,0,1,1,1,1,5,8
gemma4-12b,shell-tsv-dedup-median-by-dept,shell,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,code-dijkstra-multifile,code,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,code-expr-parser-fix,code,0,0,0,0,0,0,0,0,0,8
qwen3-coder-30b,code-fibonacci-bug-fix,code,0,0,0,0,0,0,0,0,0,8
qwen3-coder-30b,code-interval-merge-fix,code,0,0,0,0,0,0,0,0,0,8
qwen3-coder-30b,code-lru-cache-trace,code,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,code-param-count-analysis,code,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,code-sample-variance-fix,code,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,code-topo-sort,code,0,0,0,0,0,0,0,0,0,8
qwen3-coder-30b,data-csv-join-revenue-by-region,data,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,data-duplicate-transaction-count,data,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,data-inventory-turnover,data,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,data-json-flatten-top-spender,data,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,data-jsonl-session-median-duration,data,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,data-log-parse-p95-latency,data,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,data-multi-file-weighted-score,data,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,data-payment-reconciliation,data,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,multi-anomaly-detection-script,multi,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,multi-config-driven-transform,multi,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,multi-etl-log-user-join,multi,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,multi-event-session-http-enrich,multi,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,multi-grep-weighted-todo,multi,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,multi-http-catalog-pricing,multi,0,0,0,0,0,0,0,0,0,8
qwen3-coder-30b,multi-http-index-aggregate,multi,0,0,0,0,0,0,0,0,0,8
qwen3-coder-30b,multi-manifest-validate-compute,multi,0,0,0,0,0,0,0,0,0,8
qwen3-coder-30b,shell-access-log-slow-error-endpoints,shell,0,1,1,1,1,1,1,1,7,8
qwen3-coder-30b,shell-dept-salary-sum,shell,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,shell-fragment-reassembly,shell,0,0,0,0,0,0,0,0,0,8
qwen3-coder-30b,shell-multifile-dedup-latest,shell,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,shell-sensitive-config-keys,shell,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,shell-session-duration-per-user,shell,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,shell-top-error-sources,shell,1,1,1,1,1,1,1,1,8,8
qwen3-coder-30b,shell-tsv-dedup-median-by-dept,shell,1,1,1,1,1,1,1,1,8,8
